environment,seed,learner,clean_task_accuracy_gap_vs_L0,noise_degradation_gap_vs_L0,latent_drift_gap_vs_L0,support_shift_gap_vs_L0,interaction_clean_uplift_gap_vs_L0,interaction_noisy_uplift_gap_vs_L0
ENV-1,610101,L1,-0.26,0.0033333333333332993,0.06640249659260727,0.010687224245213622,0.19999999999999996,0.20333333333333325
ENV-1,610101,L2,-0.16000000000000003,-0.0033333333333332993,0.04106521752921671,0.0034188415892486557,0.16000000000000003,0.14333333333333342
ENV-1,610101,L3,-0.26,0.01333333333333342,0.06553494332198251,0.013433155909830297,0.20999999999999996,0.2066666666666669
ENV-1,610101,L4,-0.25,0.023333333333333428,0.06404615385070281,0.011193721155664416,0.18999999999999995,0.19333333333333347
ENV-1,610103,L1,-0.3267326732673267,-0.0033003300330032292,0.052884218600189214,0.0007239753887882117,0.09900990099009899,0.09240924092409253
ENV-1,610103,L2,-0.20792079207920788,-0.01320132013201325,0.023677854161383682,0.008537929996435878,0.09900990099009899,0.09240924092409242
ENV-1,610103,L3,-0.306930693069307,0.0033003300330032292,0.05117772030025594,-0.0004985393508484259,0.08910891089108919,0.08580858085808585
ENV-1,610103,L4,-0.3465346534653465,0.00990099009900991,0.04988646685343848,0.0030001009556231972,0.12871287128712872,0.16171617161716179
ENV-1,610107,L1,-0.3979591836734694,0.0,0.055862489524110104,-0.003340753058389656,0.18367346938775508,0.1802721088435375
ENV-1,610107,L2,-0.4285714285714286,-0.013605442176870874,0.01984719176595856,0.0005834617761756311,0.3163265306122449,0.29251700680272097
ENV-1,610107,L3,-0.3979591836734694,-0.006802721088435382,0.05626346688388023,-0.004644594013240355,0.15306122448979587,0.16666666666666663
ENV-1,610107,L4,-0.3877551020408163,-0.017006802721088454,0.05583821286299373,-0.005197064583572608,0.173469387755102,0.1428571428571428
ENV-2,610101,L1,0.0,0.003898635477582957,0.00010872617902121795,-0.05461301529562393,0.0,0.003898635477582957
ENV-2,610101,L2,-0.011695906432748537,0.0019493177387914784,0.02034751883287611,-0.04028740971913211,0.011695906432748537,0.013645224171540016
ENV-2,610101,L3,0.0,0.003898635477582957,0.0017540018611734154,-0.05335465138516035,0.0,0.003898635477582957
ENV-2,610101,L4,-0.01754385964912286,-0.005847953216374324,0.001654474460283245,-0.054657711050654104,0.01754385964912286,0.011695906432748537
ENV-2,610103,L1,0.0,0.0,0.012322061549094987,-0.03763420285826316,0.0,0.0
ENV-2,610103,L2,-0.023391812865497075,1.1102230246251565e-16,0.00507313811203583,-0.045271009165812254,0.023391812865497075,0.023391812865497186
ENV-2,610103,L3,0.0,0.0,0.026362168152499033,-0.03089976433038233,0.0,0.0
ENV-2,610103,L4,0.0,0.0,0.010841348193138506,-0.03794411749494192,0.0,0.0
ENV-2,610107,L1,-0.03508771929824561,0.0038986354775827348,0.0024663143303183532,-0.04992187653752665,0.03508771929824561,0.03898635477582835
ENV-2,610107,L2,-0.01754385964912286,-0.0019493177387914784,0.013665056968549805,-0.029908508781915463,0.01754385964912286,0.015594541910331383
ENV-2,610107,L3,-0.023391812865497075,1.1102230246251565e-16,0.011198656544508356,-0.04752309719857922,0.01754385964912275,0.01754385964912286
ENV-2,610107,L4,-0.01754385964912286,0.0019493177387913674,0.011648956835711266,-0.047261350083429424,0.01754385964912286,0.01949317738791423
ENV-3,610101,L1,-0.13846153846153852,0.007692307692307332,0.05037629167601637,0.00885833748482251,0.1461538461538462,0.12820512820512775
ENV-3,610101,L2,-0.13076923076923075,0.005128205128204888,0.054414028781336,0.002391844191472592,0.15384615384615374,0.13076923076923053
ENV-3,610101,L3,-0.13846153846153852,0.007692307692307554,0.05052770721550104,0.008841780585116976,0.1461538461538462,0.13076923076923075
ENV-3,610101,L4,-0.1461538461538462,-1.1102230246251565e-16,0.060581268771920715,0.013331516789378384,0.1461538461538462,0.10769230769230753
ENV-3,610103,L1,-0.125,0.03958333333333319,0.1394635715508391,0.032337266279112487,0.05625000000000002,0.043749999999999734
ENV-3,610103,L2,-0.375,-0.03541666666666665,0.059952888081780745,0.016724879131200132,0.39375000000000004,0.33333333333333326
ENV-3,610103,L3,-0.10624999999999996,0.006249999999999867,0.13932151572047685,0.030376768816750332,0.06874999999999998,0.0562499999999998
ENV-3,610103,L4,-0.25,0.0,0.14569274930390985,0.029979079221209237,0.25,0.22916666666666685
ENV-3,610107,L1,-0.31818181818181823,-0.033333333333333326,0.08183873782698511,0.018546945899398537,0.390909090909091,0.2787878787878787
ENV-3,610107,L2,-0.09999999999999998,0.0,0.02638863646677106,0.019507424538469764,0.12727272727272732,0.10303030303030292
ENV-3,610107,L3,-0.31818181818181823,-0.042424242424242364,0.08122304389703514,0.01920637008738646,0.390909090909091,0.2848484848484848
ENV-3,610107,L4,-0.3545454545454546,-0.05454545454545445,0.08581531339820503,0.020683719701795833,0.3272727272727274,0.24848484848484842
ENV-4,610101,L1,0.0,-0.005555555555555536,0.0063824415112298805,-0.005708963394721378,-0.01666666666666672,-0.022222222222222254
