learner,environment,h2_delta_ood_mean,h3r_E_noise_mean,h3r_clean_gap_mean,join_key
L1,ENV-1,-0.675329509990095,0.0028791398303593396,0.24524231865695284,learner+environment
L1,ENV-3,-0.16771306954052578,-0.010938374125874117,0.14038111888111887,learner+environment
L1,ENV-4,-0.07777777777777777,-0.0077777777777777776,0.16333333333333333,learner+environment
L2,ENV-1,-0.6882161079282394,0.0007215007215007119,0.2079720550452258,learner+environment
L2,ENV-3,-0.41554787198473936,-0.0150789627039627,0.10030244755244755,learner+environment
L2,ENV-4,-0.03777777777777776,-0.001388888888888894,0.15,learner+environment
L3,ENV-1,-0.675329509990095,0.00037509238728751504,0.23120261851969168,learner+environment
L3,ENV-3,-0.15035457897448806,-0.010351252913752917,0.13771445221445222,learner+environment
L3,ENV-4,-0.07555555555555556,-0.002777777777777779,0.16,learner+environment
L4,ENV-1,-0.675329509990095,0.005411255411255422,0.23511420828493995,learner+environment
L4,ENV-3,-0.15035457897448806,-0.00851267482517482,0.14004778554778557,learner+environment
L4,ENV-4,-0.07111111111111108,0.0002777777777777865,0.1488888888888889,learner+environment
