learner,environment,n,R_clean_mean,R_clean_median,R_clean_std,R_noisy_mean,R_noisy_median,R_noisy_std,DeltaR_noise_mean,DeltaR_noise_median,DeltaR_noise_std
L0,ENV-1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L0,ENV-2,5,0.27875000000000005,0.26625,0.02409616152004299,0.33325,0.3315625,0.005429232220121024,0.05449999999999999,0.06187500000000001,0.02097487336076192
L0,ENV-3,5,0.08052680652680652,0.05384615384615385,0.04136134004256986,0.0933715034965035,0.06562499999999999,0.050106905432076625,0.012844696969696968,0.015624999999999986,0.015055197644829687
L0,ENV-4,5,0.01111111111111111,0.011111111111111112,0.007856742013183862,0.011944444444444443,0.013888888888888888,0.007222222222222223,0.0008333333333333333,0.0,0.001666666666666666
L1,ENV-1,5,0.24524231865695284,0.18181818181818182,0.11699220646279312,0.24812145848731215,0.18686868686868685,0.11817176050107658,0.0028791398303593396,0.0050505050505050275,0.009146995841388747
L1,ENV-2,5,0.586,0.6275,0.08567890638891232,0.5851875,0.6278124999999999,0.08364419622723383,-0.000812500000000016,0.0006250000000000977,0.004586835782977217
L1,ENV-3,5,0.22090792540792537,0.20909090909090908,0.031361288468724074,0.22281424825174828,0.21818181818181817,0.023244164975480514,0.0019063228438228497,0.006249999999999978,0.00973471276022762
L1,ENV-4,5,0.17444444444444446,0.14444444444444443,0.11458998297203322,0.16749999999999998,0.14583333333333331,0.10522829385274902,-0.006944444444444445,-0.00416666666666668,0.010430546308621426
L2,ENV-1,5,0.2079720550452258,0.21904761904761905,0.05507275008657691,0.20869355576672652,0.23095238095238096,0.052004925773106385,0.0007215007215007119,-2.7755575615628914e-17,0.009976557585826041
L2,ENV-2,5,0.5325000000000001,0.50875,0.17384439881687302,0.5358750000000001,0.5225,0.17480004201229474,0.003375000000000017,0.002187500000000009,0.006128187945877613
L2,ENV-3,5,0.18082925407925407,0.14615384615384616,0.08111759469514218,0.17859498834498838,0.15384615384615385,0.0741446692152485,-0.0022342657342657333,-0.003333333333333327,0.011535173885890017
L2,ENV-4,5,0.16111111111111112,0.1,0.12237364357562992,0.16055555555555556,0.1013888888888889,0.11898684956906108,-0.0005555555555555605,0.0013888888888888978,0.006838074236161763
L3,ENV-1,5,0.23120261851969168,0.17073170731707318,0.12519907760794605,0.2315777109069792,0.1676829268292683,0.12377693319770412,0.00037509238728751504,0.0,0.005754030785646442
L3,ENV-2,5,0.5957500000000001,0.6175,0.11568167529907233,0.599875,0.624375,0.1131506531686848,0.004125000000000001,0.0068749999999999645,0.004345435823942179
L3,ENV-3,5,0.21824125874125871,0.20909090909090908,0.02706238502535937,0.2207347027972028,0.21590909090909088,0.02142679072663073,0.0024934440559440498,0.006249999999999978,0.009310539307759253
L3,ENV-4,5,0.17111111111111107,0.1388888888888889,0.11474071683044965,0.16916666666666663,0.14444444444444443,0.10756637342291514,-0.001944444444444446,0.001388888888888884,0.009069348731841384
L4,ENV-1,5,0.23511420828493995,0.2073170731707317,0.11434290792933917,0.2405254636961954,0.20731707317073172,0.11157969527809854,0.005411255411255422,2.7755575615628914e-17,0.00926222599473662
L4,ENV-2,5,0.5930000000000001,0.62875,0.08046971480004139,0.5965,0.625,0.07752756566215657,0.0034999999999999476,-0.0009375000000000355,0.007919023771905202
L4,ENV-3,5,0.22057459207459207,0.2125,0.031738902316337796,0.22490661421911423,0.22045454545454546,0.029646664968528035,0.0043320221445221465,0.007692307692307665,0.007530539163026618
L4,ENV-4,5,0.16,0.12777777777777777,0.0939792464612911,0.16111111111111112,0.13055555555555554,0.08722399148948658,0.0011111111111111196,0.002777777777777768,0.007576767609436573
