learner,environment,n,E_noise_mean,E_noise_median,E_noise_std,DeltaR_clean_vs_L0_mean,DeltaR_clean_vs_L0_median,DeltaR_clean_vs_L0_std
L1,ENV-1,5,0.0028791398303593396,0.0050505050505050275,0.009146995841388747,0.24524231865695284,0.18181818181818182,0.11699220646279312
L1,ENV-2,5,-0.05531250000000001,-0.05906250000000002,0.018978812199397566,0.30724999999999997,0.32874999999999993,0.08126884396864519
L1,ENV-3,5,-0.010938374125874117,-0.00909090909090908,0.022593954543252,0.14038111888111887,0.13076923076923078,0.031303062241686205
L1,ENV-4,5,-0.0077777777777777776,-0.006944444444444456,0.010153148268053917,0.16333333333333333,0.12777777777777777,0.11014020245818902
L2,ENV-1,5,0.0007215007215007119,-2.7755575615628914e-17,0.009976557585826041,0.2079720550452258,0.21904761904761905,0.05507275008657691
L2,ENV-2,5,-0.051124999999999976,-0.05593750000000003,0.0214053147605916,0.25375000000000003,0.24625000000000002,0.16886940220181984
L2,ENV-3,5,-0.0150789627039627,-0.010416666666666657,0.016985168488801532,0.10030244755244755,0.08666666666666667,0.05643469185790309
L2,ENV-4,5,-0.001388888888888894,-0.0013888888888888788,0.006022078719077447,0.15,0.08888888888888889,0.12136059929700578
L3,ENV-1,5,0.00037509238728751504,0.0,0.005754030785646442,0.23120261851969168,0.17073170731707318,0.12519907760794605
L3,ENV-2,5,-0.05037499999999999,-0.05343750000000003,0.024453719042305214,0.31700000000000006,0.34625,0.11582745788456207
L3,ENV-3,5,-0.010351252913752917,-0.011363636363636367,0.02076846246320845,0.13771445221445222,0.13076923076923078,0.03342193068705974
L3,ENV-4,5,-0.002777777777777779,-0.0013888888888888926,0.008425417160057269,0.16,0.12222222222222223,0.11029701763314108
L4,ENV-1,5,0.005411255411255422,2.7755575615628914e-17,0.00926222599473662,0.23511420828493995,0.2073170731707317,0.11434290792933917
L4,ENV-2,5,-0.051000000000000045,-0.055625000000000036,0.026233923648589046,0.31425000000000003,0.32,0.08303839473400242
L4,ENV-3,5,-0.00851267482517482,-0.0046874999999999695,0.014927078856998897,0.14004778554778557,0.13076923076923078,0.019351204569594438
L4,ENV-4,5,0.0002777777777777865,0.002777777777777768,0.00682678095969138,0.1488888888888889,0.1111111111111111,0.08988332629402972
