learner,environment,seed,R_clean,R_noisy,DeltaR_noise,E_noise,DeltaR_clean_vs_L0,cell_clean_guard_exceeds_0_02,cell_noise_practical_win_lt_minus_0_01,cell_noise_worse_gt_0
L1,ENV-1,124586,0.14634146341463414,0.15853658536585366,0.012195121951219523,0.012195121951219523,0.14634146341463414,True,False,True
L2,ENV-1,124586,0.23170731707317074,0.23170731707317072,-2.7755575615628914e-17,-2.7755575615628914e-17,0.23170731707317074,True,False,False
L3,ENV-1,124586,0.17073170731707318,0.1676829268292683,-0.0030487804878048808,-0.0030487804878048808,0.17073170731707318,True,False,False
L4,ENV-1,124586,0.2073170731707317,0.20731707317073172,2.7755575615628914e-17,2.7755575615628914e-17,0.2073170731707317,True,False,True
L1,ENV-1,223691,0.34285714285714286,0.3333333333333333,-0.009523809523809545,-0.009523809523809545,0.34285714285714286,True,False,False
L2,ENV-1,223691,0.21904761904761905,0.23095238095238096,0.011904761904761918,0.011904761904761918,0.21904761904761905,True,False,True
L3,ENV-1,223691,0.3142857142857143,0.3238095238095238,0.009523809523809545,0.009523809523809545,0.3142857142857143,True,False,True
L4,ENV-1,223691,0.38095238095238093,0.39285714285714285,0.011904761904761918,0.011904761904761918,0.38095238095238093,True,False,True
L1,ENV-1,537173,0.42424242424242425,0.4368686868686869,0.012626262626262652,0.012626262626262652,0.42424242424242425,True,False,True
L2,ENV-1,537173,0.29292929292929293,0.2803030303030303,-0.012626262626262652,-0.012626262626262652,0.29292929292929293,True,True,False
L3,ENV-1,537173,0.43434343434343436,0.4267676767676768,-0.007575757575757569,-0.007575757575757569,0.43434343434343436,True,False,False
L4,ENV-1,537173,0.35353535353535354,0.3484848484848485,-0.0050505050505050275,-0.0050505050505050275,0.35353535353535354,True,False,False
L1,ENV-1,538839,0.18181818181818182,0.18686868686868685,0.0050505050505050275,0.0050505050505050275,0.18181818181818182,True,False,True
L2,ENV-1,538839,0.1414141414141414,0.13383838383838384,-0.007575757575757569,-0.007575757575757569,0.1414141414141414,True,False,False
L3,ENV-1,538839,0.1414141414141414,0.1414141414141414,0.0,0.0,0.1414141414141414,True,False,False
L4,ENV-1,538839,0.09090909090909091,0.1111111111111111,0.020202020202020193,0.020202020202020193,0.09090909090909091,True,False,True
L1,ENV-1,965182,0.13095238095238096,0.125,-0.005952380952380959,-0.005952380952380959,0.13095238095238096,True,False,False
L2,ENV-1,965182,0.15476190476190477,0.16666666666666666,0.01190476190476189,0.01190476190476189,0.15476190476190477,True,False,True
L3,ENV-1,965182,0.09523809523809523,0.09821428571428571,0.0029761904761904795,0.0029761904761904795,0.09523809523809523,True,False,True
L4,ENV-1,965182,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,True,False,False
L1,ENV-2,124586,0.64125,0.6409374999999999,-0.00031250000000004885,-0.07,0.37875,True,True,False
L2,ENV-2,124586,0.50875,0.5225,0.013749999999999929,-0.05593750000000003,0.24625000000000002,True,True,False
L3,ENV-2,124586,0.60875,0.60875,0.0,-0.06968749999999996,0.34625,True,True,False
L4,ENV-2,124586,0.6775,0.6765625,-0.0009375000000000355,-0.070625,0.415,True,True,False
L1,ENV-2,223691,0.41625,0.4190625,0.0028124999999999956,-0.05906250000000002,0.15000000000000002,True,True,False
L2,ENV-2,223691,0.35,0.3446875,-0.005312499999999998,-0.06718750000000001,0.08374999999999999,True,True,False
L3,ENV-2,223691,0.3775,0.3859375,0.008437499999999987,-0.05343750000000003,0.11125000000000002,True,True,False
L4,ENV-2,223691,0.4425,0.44875,0.006249999999999978,-0.055625000000000036,0.17625000000000002,True,True,False
L1,ENV-2,537173,0.6375,0.6278124999999999,-0.009687500000000071,-0.0446875000000001,0.32874999999999993,True,True,False
L2,ENV-2,537173,0.8325,0.8346875,0.002187500000000009,-0.03281250000000002,0.5237499999999999,True,True,False
L3,ENV-2,537173,0.6175,0.624375,0.0068749999999999645,-0.028125000000000067,0.30875,True,True,False
